,日期,农历日期,最高温度,最低温度
0,29,十五,20,9
1,30,十六,20,9
2,31,十七,19,9
3,01,十八,19,8
4,02,十九,19,8
5,03,二十,19,8
6,04,廿一,19,8
7,05,廿二,18,7
8,06,廿三,18,7
9,07,廿四,18,7
10,08,立冬,18,7
11,09,廿六,17,6
12,10,廿七,17,6
13,11,廿八,17,6
14,12,廿九,16,6
15,13,初一,16,6
16,14,初二,16,5
17,15,初三,15,5
18,16,初四,15,5
19,17,初五,15,5
20,18,初六,14,4
21,19,初七,14,4
22,20,初八,14,4
23,21,初九,13,4
24,22,小雪,13,3
25,23,降温7℃,13,3
26,24,十二,13,3
27,25,十三,12,3
28,26,十四,12,2
29,27,十五,12,2
30,28,十六,12,2
31,29,十七,11,2
32,30,十八,11,2
33,01,十九,11,1
34,02,二十,11,1
